Episódio;Marca;Título (thumb);Convidado;Status;Bloco;Canva (aberto);Página Canva;Drive (fechado);Arquivo Drive;PNG final (GitHub);YouTube;Título YouTube;Canva original;Observações
#263;Anima Podcast;Você está solteira por causa disso;Joyce Pessanha;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;72;https://drive.google.com/file/d/1uWP3blyZHznmLSm8tqBgB4QwNhQXoJnm/view;#263 - Joyce Pessanha.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e263.png;https://youtu.be/iUJMdwKck-s;Saia da SOLTEIRICE: O SEGREDO para encontrar o HOMEM DA SUA VIDA | Ep #263 | Com Joyce Pessanha;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#262;Anima Podcast;Esse foi o erro de Lutero;Filipe Santos;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;73;https://drive.google.com/file/d/10oKTAxM869L1-EixQ5ihFdrVWFgYMCh7/view;#262 - Filipe Santos.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e262.png;https://youtu.be/z1k7PgBJieU;Entenda o fato histórico que DERRUBA a base do PROTESTANTISMO | Ep #262 | Com Filipe Santos;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#261;Anima Podcast;O que não te contaram sobre Santo Agostinho;Joel Gracioso;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;74;https://drive.google.com/file/d/1MFEliN7SCChPZPXL7jhryMw0ndFVDTSM/view;#261 - Joel Gracioso.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e261.png;https://youtu.be/EanZjNe4c_8;O que NÃO TE CONTARAM sobre Santo Agostinho | Ep #261 | Com Joel Gracioso;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#260;Anima Podcast;O que esperar de 2026;Diogo e Vanessa;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;3;https://drive.google.com/file/d/1L1C3-LR4e-hb26txhdEjFmhEuP67di_k/view;#260 - Diogo e Vanessa.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e260.png;https://youtu.be/455n0bv-y1I;Especial de Ano Novo: Lições para um 2026 incrível | Ep #260 | Com Kenya, Berthaldo, Diogo e Vanessa;https://www.canva.com/design/DAHRFk8zA-8/edit;"Os próprios apresentadores são os convidados; Drive tem a versão antiga (casal anterior)"
#259;Anima Podcast;O nascimento de Jesus;Alvaro Siviero e Sérgio Resende;Casal novo aplicado;Bloco 8 - Arquivo 2;https://www.canva.com/design/DAHT5IC7CDA/edit;21;https://drive.google.com/file/d/1zfmDZLBweIkBpmUQTFY5G3xTtanNhDmw/view;#259 - Alvaro Siviero e Sergio Resende.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e259.png;https://youtu.be/7EeH8OGv650;O que NÃO TE CONTARAM sobre o nascimento de Jesus | Ep #259 | Com Alvaro Siviero e Sérgio Resende;https://www.canva.com/design/DAHRFXzISZs/edit;Drive tem a versão antiga (casal anterior)
#258;Anima Podcast;O milagre que virou filme;Marcus e Yanna Varandas;Casal novo aplicado;Bloco 8 - Arquivo 2;https://www.canva.com/design/DAHT5IC7CDA/edit;22;https://drive.google.com/file/d/1E8hLPyjnicj0S4pAn5L41RMtozREYCoV/view;#258 - Marcus e Yanna Varandas.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e258.png;https://youtu.be/5IvvhGzAX3k;INEXPLICÁVEL: O MILAGRE que virou filme na Netflix | Ep #258 | Com Marcus e Yanna Varandas;https://www.canva.com/design/DAHRFXzISZs/edit;Drive tem a versão antiga (casal anterior)
#257;Anima Podcast;É por isso que muitos esfriam na fé;Thiago Dutra;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;75;https://drive.google.com/file/d/1T_I3OdM4xU_yhm2oCNhZ3mDiShDdCVMY/view;#257 - Thiago Dutra.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e257.png;https://youtu.be/ITA_aYs_4pw;Entenda por que muitos católicos esfriam na fé | Ep #257 | Com Thiago Dutra (Exército de Maria);https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#256;Anima Podcast;Ser bonzinho é o caminho para o inferno;Pedro Augusto;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;76;https://drive.google.com/file/d/1uNa8GIrPyGPqb7MymRsgpElmBTH8bbHW/view;#256 - Pedro Augusto.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e256.png;https://youtu.be/4NInLStrVKM;Descubra por que ser bonzinho pode destruir sua vida espiritual | Ep #256 | Com Pedro Augusto;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#255;Anima Podcast;Esse erro prejudica sua imagem;Alexandra Bastos;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;77;https://drive.google.com/file/d/1DOslO-miNa0bIVjlivZp4JcIY5CefbDk/view;#255 - Alexandra Bastos.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e255.png;https://youtu.be/xEQsjwoCIKc;Como sua APARÊNCIA impacta seu SUCESSO profissional e financeiro | Ep #255 | Com Alexandra Bastos;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#254;Anima Podcast;A jornada de fé de Paloma Bernardi;Paloma Bernardi;Casal novo aplicado;Bloco 11 - Arquivo 1;https://www.canva.com/design/DAHT5NXToGQ/edit;2;https://drive.google.com/file/d/1q8Vo34DQ08KwQx1JjPUg2cE1n62wup0L/view;#254 - Paloma Bernardi.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e254.png;https://youtu.be/p76WnRONF94;Santa Teresinha e sinais do céu: a jornada da atriz Paloma Bernardi na fé católica | Ep #254;https://www.canva.com/design/DAHRGTMEaX0/edit;Drive tem a versão antiga (casal anterior)
#253;Anima Podcast;É por isso que você está sempre ansioso;Pedrinho Salomão;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;78;https://drive.google.com/file/d/1tGbCVni1u8dWsnyZYKOGjE-drKn4rrVA/view;#253 - Pedrinho Salomao.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e253.png;https://youtu.be/Kr1BWS55NrM;ANSIEDADE, DEPRESSÃO E FÉ: Como encontrar sentido no mundo de hoje? | Ep #253 | Com Pedrinho Salomão;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#252;Anima Podcast;As profecias de Cimbres para o Brasil;Ione Paiva;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;79;https://drive.google.com/file/d/1b11NyuvIrYN_-nCixjrUSrXsMYirG6LF/view;#252 - Ione Paiva.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e252.png;https://youtu.be/yuVIJxy9EX8;APARIÇÃO DE CIMBRES e as PROFECIAS de Nossa Senhora para o Brasil | Ep #252 | Com Ione Paiva;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#251;Anima Podcast;O cantor coreano que virou católico;Junho Chu;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;80;https://drive.google.com/file/d/1RS2v_RvbaJQBoQj1ZIvASR0tdO00m98S/view;#251 - Junho Chu.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e251.png;https://youtu.be/4SkFPqKyFI4;O cantor coreano que deixou o ateísmo e virou fenômeno Católico no Brasil | Ep #251 | Com Junho Chu;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#250;Anima Podcast;O segredo da estátua de São Miguel;Pe. Márcio Almeida;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;81;https://drive.google.com/file/d/19DFj-c-NoWtgUMA28vT1EnTRrCI4pJ_o/view;#250 - Pe. Marcio Almeida.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e250.png;https://youtu.be/CctgGtOmdSI;A Batalha Espiritual e a Consagração do Brasil a São Miguel | Ep #250 | Com Pe. Márcio Almeida;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#249;Anima Podcast;Maria é corredentora?;Pe. Francisco Amaral;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;82;https://drive.google.com/file/d/18ei5gAhLlNIt53p-c5HhpcoVu1ImDm2x/view;#249 - Pe. Francisco Amaral.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e249.png;https://youtu.be/O6pkvuXUuwk;O que católicos DEVEM FAZER após o novo documento do Vaticano | Ep #249 | Com Pe. Francisco Amaral;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#248;Anima Podcast;Isso fez um pastor virar católico;Altamir Gomes;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;51;;;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e248.png;https://youtu.be/9ehvMBwHqU0;Conheça a história do EX-PASTOR protestante que virou CATÓLICO | Ep #248 | Com Altamir Gomes;https://www.canva.com/design/DAHQrnlzPa8/edit;Não encontrado no Drive
#247;Anima Podcast;Parei de gritar com meus filhos;Esther Biselli;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;43;;;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e247.png;https://youtu.be/EAn00k33IjI;O SEGREDO para retomar o controle da sua vida e ter PAZ INTERIOR | Ep #247 | Com Esther Biselli;https://www.canva.com/design/DAHQrnlzPa8/edit;Não encontrado no Drive
#246;Anima Podcast;Viver só da Eucaristia?;Cláudio Bomtempo;Casal novo aplicado;Bloco 10 - Arquivo 1;https://www.canva.com/design/DAHT5G-VT0s/edit;2;https://drive.google.com/file/d/110nd5_rk1uBIcruqdIqHrOCSmAoHrm_9/view;#246 - Cláudio Bomtempo.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e246.png;https://youtu.be/M9ea_aSvUVE;A HISTÓRIA REAL da mulher que VIVEU SÓ DA EUCARISTIA por 64 anos | Ep#246 | Com Dr. Cláudio Bomtempo;https://www.canva.com/design/DAHRF2DSDi0/edit;Drive tem a versão antiga (casal anterior)
#245;Anima Podcast;Fazer isso é desobedecer a Deus;Matheus Machado;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;44;;;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e245.png;https://youtu.be/qNNjTcVK4ac;Como realizar os PLANOS DE DEUS na SUA VIDA | Ep #245 | Com Matheus Machado;https://www.canva.com/design/DAHQrnlzPa8/edit;Não encontrado no Drive
#244;Anima Podcast;Apocalipse: 3 dias de trevas?;Lucas Gelasio;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;45;;;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e244.png;https://youtu.be/0xhJLxyZ4k4;APOCALIPSE: O que você PRECISA saber sobre o fim dos tempos | Ep #244 | Com Lucas Gelasio;https://www.canva.com/design/DAHQrnlzPa8/edit;Não encontrado no Drive
#243;Anima Podcast;Ex-grávida de Taubaté;Maria Verônica;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;46;;;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e243.png;https://youtu.be/mdFW-1yQFBM;DO INFERNO AO CÉU: A Reviravolta INACREDITÁVEL da Grávida de Taubaté | Ep #243 | Com Maria Verônica;https://www.canva.com/design/DAHQrnlzPa8/edit;Não encontrado no Drive
#242;Anima Podcast;Segredos dos Santuários Marianos;Kenya e Berthaldo;Casal novo aplicado;Bloco 8 - Arquivo 2;https://www.canva.com/design/DAHT5IC7CDA/edit;23;https://drive.google.com/file/d/1Sm6D9Y3_NzTqGIYNE5KG47VF2Ysa76me/view;#242 - Kenya e Berthaldo.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e242.png;https://youtu.be/vULBGcoE_sE;Descubra SEGREDOS escondidos nos Santuários Marianos | Ep #242 | Com Kenya e Berthaldo;https://www.canva.com/design/DAHRFXzISZs/edit;Drive tem a versão antiga (casal anterior)
#241;Anima Podcast;Milagres através de Santa Rita;Céci Portugal e Filipe Santos;Casal novo aplicado;Bloco 8 - Arquivo 2;https://www.canva.com/design/DAHT5IC7CDA/edit;24;https://drive.google.com/file/d/1FCDppnLk-_NYmyNyDytyt3lyfIw9kiq-/view;#241 - Ceci Portugal e Filipe Santos.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e241.png;https://youtu.be/GAUySehdQzc;Como alcançar MILAGRES através de Santa Rita de Cássia | Ep #241 | Com Céci Portugal e Filipe Santos;https://www.canva.com/design/DAHRFXzISZs/edit;Drive tem a versão antiga (casal anterior)
#240;Anima Podcast;Sem isso, não é TDAH;Raphael Rangel;Casal novo aplicado;Bloco 10 - Arquivo 1;https://www.canva.com/design/DAHT5G-VT0s/edit;3;https://drive.google.com/file/d/17sflWSYzssBVUV7DTvTn09tF1VGluJ78/view;#240 - Raphael Rangel.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e240.png;https://youtu.be/VjIGGw3NPZA;TRATAMENTO de TDAH: Por que apenas remédio NÃO funciona | Ep #240 | Com Dr. Raphael Rangel;https://www.canva.com/design/DAHRF2DSDi0/edit;Drive tem a versão antiga (casal anterior)
#239;Anima Podcast;Eu não contrato esquerdista;Tallis Gomes;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;47;;;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e239.png;https://youtu.be/79lRxfQ_-bQ;A mentalidade do empresário que desafiou o sistema e criou um império | Ep #239 | Com Tallis Gomes;https://www.canva.com/design/DAHQrnlzPa8/edit;Não encontrado no Drive
#238;Anima Podcast;O testamento escondido de São Carlo Acutis;Pe. Fabio Vieira;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;48;;;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e238.png;https://youtu.be/SbtdzZr-COo;O SEGREDO de CARLO ACUTIS para a santidade | Ep #238 | Com Pe. Fabio Vieira;https://www.canva.com/design/DAHQrnlzPa8/edit;Não encontrado no Drive
#237;Anima Podcast;Muito mais que um padre gato;Pe. Jefferson Merighetti;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;49;;;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e237.png;https://youtu.be/ejbuMr9sExQ;Vocação, Fama e Anonimato: O padre que viralizou nas redes | Ep #237 | Com Pe. Jefferson Merighetti;https://www.canva.com/design/DAHQrnlzPa8/edit;Não encontrado no Drive
#236;Anima Podcast;O Papa usa isso;Martinho Rocha;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;50;;;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e236.png;https://youtu.be/oepkIOL5YXE;Para que serve o INCENSO? Descubra por que ele transforma sua oração! | Ep #236 | Com Martinho Rocha;https://www.canva.com/design/DAHQrnlzPa8/edit;Não encontrado no Drive
#235;Anima Podcast;O lado silencioso do autismo;Thiago Castro;Casal novo aplicado;Bloco 10 - Arquivo 1;https://www.canva.com/design/DAHT5G-VT0s/edit;4;https://drive.google.com/file/d/1U1QkWq3wGVKHHz1n4-so3aO3WoLOPFuf/view;#235 - Thiago Castro.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e235.png;https://youtu.be/7qDyO0PtR2k;O que não te contaram sobre Autismo, TDAH e Superdotação | Ep #235 | Com Dr. Thiago Castro;https://www.canva.com/design/DAHRF2DSDi0/edit;Drive tem a versão antiga (casal anterior)
#234;Anima Podcast;Não pecar contra a castidade;José Roberto e Maria Carolina;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;4;https://drive.google.com/file/d/1g37bxjXxfA1hY0pB18J0vr4mgpz3E-lo/view;#234 - Jose Roberto e Maria Carolina.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e234.png;https://youtu.be/AcS0JtEP1Ic;Como a Graça de Deus age nos RELACIONAMENTOS| Ep#234 |Com José Roberto e Maria Carolina Mello Porto;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#233;Anima Podcast;Quando o casamento comeca a morrer;Yasmin Fleming;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;5;https://drive.google.com/file/d/1nP6VDljj5LnCwPIVC6HC47V53cMwmKVk/view;#233 - Yasmin Fleming.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e233.png;https://youtu.be/6UzvbhpWOl8;Segredos práticos para salvar seu casamento | Ep #233 | Com Yasmin Fleming;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#232;Anima Podcast;A boa música é remédio para a alma;Alex Cohen;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;6;https://drive.google.com/file/d/1yjZrZ8Y1LB957VHspWMylRs7HppMqoTl/view;#232 - Alex Cohen.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e232.png;https://youtu.be/7QB_Edaxla0;Música que toca a alma: O poder de uma composição divina | Ep #232 | Com Alex Cohen;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#231;Anima Podcast;O quadro que adoecia as pessoas;Paulo Frade;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;7;https://drive.google.com/file/d/1fU5VSJ-RxlmV1peO61Of9m2dBeuMhAc5/view;#231 - Paulo Frade.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e231.png;https://youtu.be/AiYmdLGtOzs;O Perigo da ARTE sem ALMA: Quando a beleza se desconecta do Divino | Ep #231 | Com Paulo Frade;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#230;Anima Podcast;Se eu estivesse no Irã, estaria morta;Mahsima Nadim;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;8;https://drive.google.com/file/d/1JGfHz0ChrCg37ZiVjsEmkNhbWDkmHinD/view;#230 - Mahsima Nadim.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e230.png;https://youtu.be/sQNcblHlRNE;O que não te contaram sobre a realidade das mulheres no Irã | Ep #230 | Com Mahsima Nadim;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#229;Anima Podcast;A verdade sobre o Sudário;Vera Tostes;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;9;https://drive.google.com/file/d/1QgQiWNYUgJTXUdH2T9_0RhMvEgQYJG2R/view;#229 - Vera Tostes.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e229.png;https://youtu.be/Wxzi8a2WhGI;O que o SANTO SUDÁRIO revela sobre a crucificação de Jesus? | Ep #229 | Com Vera Tostes;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#228;Anima Podcast;Eu estava nas garras de Satanás;Tony Allysson;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;10;https://drive.google.com/file/d/1qPnXnxD9RiUFOv_1YajMAY2A8cqvrMAT/view;#228 - Tony Allysson.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e228.png;https://youtu.be/f17aAhp76aQ;De roqueiro a missionário: A INCRÍVEL história de Tony Allysson | Ep #228 | Com Tony Allysson;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#227;Anima Podcast;Caí protestante, levantei católico;Frei Angelo Faitanin;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;11;https://drive.google.com/file/d/1bz56VLtgBRMgNSfavNtCQV2FXkx7azhm/view;#227 - Frei Angelo Faitanin.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e227.png;https://youtu.be/PH5mzWC9M1A;Ele era líder PROTESTANTE e se tornou Frei CATÓLICO | Ep #227 | Com Frei Angelo Faitanin;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#226;Anima Podcast;Fui ateu e comunista;Gabriel Kanner;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;12;https://drive.google.com/file/d/18NR9uIaNO_voEgPBL3xo0tR3GPdqe3pN/view;#226 - Gabriel Kanner.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e226.png;https://youtu.be/d7l24KP1_Ok;Ele foi ateu e descobriu que Deus EXISTE | Ep #226 | Com Gabriel Kanner;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#225;Anima Podcast;Não entre no digital sem isso;Ítalo Marsili;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;13;https://drive.google.com/file/d/1u0LSoybkG3qR0j1hiLg7JZlRLlrLzd6Z/view;#225 - Ítalo Marsili.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e225.png;https://youtu.be/gJjZvbFBass;O que ninguém te conta sobre o mercado digital | Ep #225 | Com Ítalo Marsili;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#224;Anima Podcast;Seu casamento pode ser nulo?;Pe. Alex Nogueira;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;14;https://drive.google.com/file/d/1Yrw6wBtdC_dTIRtUJned2dJXk33A_dN_/view;#224 - Pe. Alex Nogueira.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e224.png;https://youtu.be/QkSNKLt79Js;Divórcio na Igreja? Entenda como funciona a Nulidade Matrimonial | Ep. #224 | com Pe. Alex Nogueira;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#223;Anima Podcast;Vá mais rápido para o Céu;Pe. Renato Teixeira;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;15;https://drive.google.com/file/d/18pfQL79TILSokPs_SN3xawLsvbcamBtF/view;#223 - Pe. Renato Teixeira.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e223.png;https://youtu.be/JmSQRMpqWjg;INDULGÊNCIA: O segredo para acelerar sua chegada ao céu | Ep #223 | Com Pe. Renato Teixeira;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#222;Anima Podcast;O Rock é satânico?;Danilo Lopes;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;16;https://drive.google.com/file/d/1666U-63fVeO9KwXH0RqQQ00K0-FXTBHB/view;#222 - Danilo Lopes.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e222.png;https://youtu.be/PaOlD-oMbd0;Músico Revela Experiências Reais com Possessão Demoníaca | Ep #222 | Com Danilo Lopes;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#221;Anima Podcast;"O ""chip da beleza"" é uma farsa?";Diogo Viana;Casal novo aplicado;Bloco 10 - Arquivo 1;https://www.canva.com/design/DAHT5G-VT0s/edit;5;https://drive.google.com/file/d/1Vk6cDHgS_tPYm8ttn6-BLSsQNE2WL5Dn/view;#221 - Diogo Viana.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e221.png;https://youtu.be/1UrrzhjXxc4;O que toda mulher precisa saber sobre MENOPAUSA | Ep #221 | Com Dr. Diogo Viana;https://www.canva.com/design/DAHRF2DSDi0/edit;Drive tem a versão antiga (casal anterior)
#220;Anima Podcast;Escalando até o Céu;Luciano Bandeira;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;17;https://drive.google.com/file/d/1QjQork56p4iNCz9zYGOBSpu-I_KCTJk9/view;#220 - Luciano Bandeira.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e220.png;https://youtu.be/1et5n81WNZk;Histórias de Santos Que Transformam Vidas | Ep #220 | Com Luciano Bandeira;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#219;Anima Podcast;A arma contra a gula;Isa Latuf;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;18;https://drive.google.com/file/d/1kyha3dVTzbW1uiREFsqi_eH2Qj9Zo-8g/view;#219 - Isa Latuf Jardim.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e219.png;https://youtu.be/80M2-epM2-E;O segredo para EMAGRECER e vencer a compulsão | Ep #219 | Com Isa Latuf Jardim;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#218;Anima Podcast;Como superar a dor e o sofrimento;Luis Enrique Carmelo;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;19;https://drive.google.com/file/d/1V_IcfFUAGxI0Nub38DUgWNfDw8gKhYKm/view;#218 - Luis Enrique Carmelo.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e218.png;https://youtu.be/e9OMSLJBvSE;Como Transformar o VAZIO EXISTENCIAL em Propósito de Vida | Ep #218 | Com Luis Enrique Carmelo;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#217;Anima Podcast;A Santa Carona;Guilherme Cadoiss;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;20;https://drive.google.com/file/d/1L0n5nghY7DN59uOirzhvmsCZCaX6wVmn/view;#217 - Guilherme Cadoiss.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e217.png;https://youtu.be/ICmfpPS_1yI;Estratégias INOVADORAS Para Atrair Mais Fiéis Pela Internet | Ep #217 | Com Guilherme Cadoiss;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#216;Anima Podcast;Encontrei Deus no fundo do poço;Alam Carrion;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;21;https://drive.google.com/file/d/1wjX6JxIKWw0qlq_Ba0XCRjaexVMOWYHH/view;#216 - Alam Carrion.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e216.png;https://youtu.be/90Ti41Kikmk;De Jovem Rebelde a Evangelizador Católico na Internet | Ep #216 | Com Alam Carrion;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
