ep,marca,convidado,gravidade,tipos,descricao,url
#74,Anima Podcast,Renata Fróes,media,convidado-qualidade,Recorte da convidada com bordas serrilhadas/pixeladas visíveis nos ombros e no blazer,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e74.png
#70,Anima Podcast,Thiago Castro,media,"convidado-desproporcional, texto-sobreposto",'OS MELHORES ESTÍMULOS' invade o cabelo do convidado | Cabeça do convidado maior que a dos apresentadores,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e70.png
#69,Anima Podcast,Loo Burnett,media,texto-sobreposto,O '?' de 'O QUE OS ANJOS FAZEM?' encosta no cabelo da convidada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e69.png
#68,Anima Podcast,Victor Sales Pinheiro,media,"convidado-desproporcional, texto-sobreposto",Convidado muito grande: cabeça bem maior que a do casal e corpo avançando até perto do badge | 'COM VICTOR SALES PINHEIRO' termina quase encostado na camisa do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e68.png
#67,Anima Podcast,Dom Fernando Rifan,media,"convidado-desproporcional, texto-sobreposto",'RITO ROMANO ANTIGO:' e 'DIFERENÇA' encostam no cabelo/rosto do convidado | Cabeça do convidado maior que a dos apresentadores,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e67.png
#62,Anima Podcast,Diácono Romulo Canuto,media,"convidado-desproporcional, texto-sobreposto",'CONVERSÃO DE ALGUÉM' encosta no rosto/cabelo do convidado e 'COM DIÁCONO ROMULO CANUTO' encosta no ombro | Cabeça do convidado maior que a dos apresentadores,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e62.png
#55,Anima Podcast,Dom Tiago Stanislaw,media,"convidado-desproporcional, texto-sobreposto",'SALVE BEBÊS DO ABORTO' encosta/invade o cabelo e a lateral do rosto do convidado | Cabeça do convidado maior que a dos apresentadores,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e55.png
#52,Anima Podcast,Márcio Gualberto,media,"convidado-desproporcional, texto-sobreposto",'POLÍTICA E CATOLICISMO' encosta na cabeça/orelha do convidado | Convidado maior que o casal; ombro chega perto do badge,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e52.png
#50,Anima Podcast,Mariana Brito,media,texto-sobreposto,'MOVIMENTO COMUNISTA' invade o cabelo da convidada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e50.png
#39,Anima Podcast,Dario Leitão,media,texto-sobreposto,Linha 'DEPRESSÃO: A DOENÇA' encosta no cabelo do convidado à direita,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e39.png
#38,Anima Podcast,Ana Carolina Goulart,media,texto-sobreposto,'COM ANA CAROLINA GOULART' é longo e encosta/sobrepõe o ombro do blazer da convidada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e38.png
#30,Anima Podcast,Felipe Magalhães,media,"convidado-qualidade, texto-sobreposto",Linha 'INFERTILIDADE: QUANDO' encosta na cabeça/orelha do convidado | Recorte do ombro esquerdo do convidado com borda serrilhada/escadeada visível,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e30.png
#25,Anima Podcast,Anderson Brito,media,texto-sobreposto,Linha 'NÃO É SÓ GORDURINHA' encosta no cabelo do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e25.png
#23,Anima Podcast,Aureanne Villacorta,media,texto-sobreposto,'COM AUREANNE VILLACORTA' é longo e encosta no ombro do blazer da convidada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e23.png
#19,Anima Podcast,Eduardo Honorato,media,texto-sobreposto,Linha 'AUMENTE A FERTILIDADE' encosta/sobrepõe a lateral da cabeça do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e19.png
#10,Anima Podcast,Elizangila Leite,media,convidado-desproporcional,"Convidada em close de busto, cabeça bem maior que a do casal (~35% maior)",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e10.png
#2,Anima Podcast,Ana Beatriz Barbosa,media,texto-sobreposto,'COM ANA BEATRIZ BARBOSA' encosta no cabelo/ombro da convidada (sem folga à direita),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e2.png
#1,Anima Podcast,João Marcos Ferreira,media,"convidado-desproporcional, texto-sobreposto","Convidado em close de busto, cabeça bem maior que a do casal (~35% maior) | 'COM JOÃO MARCOS FERREIRA' fica a poucos pixels do ombro do convidado",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e1.png
#69,Anima Podcast Saúde,Rodrigo Borborema,media,"convidado-cortado, convidado-desproporcional, texto-sobreposto","Topo da cabeça do convidado encosta/sobrepõe a moldura azul superior | Convidado muito maior que o casal (cabeça ~35% maior), close de busto | 'COM RODRIGO BORBOREMA' termina encostado no ombro do convidado",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e69.png
#67,Anima Podcast Saúde,Pedro Góes,media,"convidado-cortado, convidado-desproporcional","Topo do cabelo do convidado encosta/sobrepõe a moldura azul superior | Convidado muito maior que o casal (cabeça ~45% maior), close de busto",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e67.png
#65,Anima Podcast Saúde,Pedro Spineti,media,"convidado-cortado, convidado-desproporcional","Topo do cabelo do convidado encosta/sobrepõe a moldura azul superior | Convidado muito maior que o casal (cabeça ~45% maior), close de busto",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e65.png
#64,Anima Podcast Saúde,Letícia Cazarré,media,"convidado-cortado, convidado-desproporcional","Topo do cabelo da convidada encosta/sobrepõe a moldura azul superior | Convidada maior que o casal, cabeça no limite superior da imagem",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e64.png
#63,Anima Podcast Saúde,Rafaelly Faitanin,media,"convidado-cortado, convidado-desproporcional, texto-sobreposto","Topo do cabelo da convidada encosta/sobrepõe a moldura azul superior | Convidada maior que o casal, cabeça no limite superior da imagem | 'COM RAFAELLY FAITANIN' termina encostado no ombro do blazer da convidada",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e63.png
#62,Anima Podcast Saúde,Elisabete Pinheiro,media,"convidado-cortado, convidado-desproporcional, texto-sobreposto","Topo do cabelo da convidada encosta/sobrepõe a moldura azul superior | Convidada muito maior que o casal (cabeça ~40% maior), close de busto | 'COM ELISABETE PINHEIRO' termina encostado no ombro do blazer da convidada",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e62.png
#61,Anima Podcast Saúde,Bella Gurgel,media,"convidado-cortado, convidado-desproporcional","Topo da cabeça da convidada encosta/sobrepõe a moldura azul superior | Convidada muito maior que o casal (cabeça ~40% maior), close de busto",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e61.png
#60,Anima Podcast Saúde,Bruna Pitaluga,media,"convidado-cortado, convidado-desproporcional","Topo da cabeça da convidada encosta/sobrepõe a moldura azul superior | Convidada muito maior que o casal (cabeça ~40% maior), close de busto",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e60.png
#57,Anima Podcast Saúde,Caroline Cristofari,media,"convidado-cortado, convidado-desproporcional",Cabelo encosta/atravessa a moldura azul superior | Cabeça da convidada maior que as do casal,https://audiovisual-anima.github.io/thumbs-anima/review/saude/e57.png
#55,Anima Podcast Saúde,Rodrigo Mendes,media,"convidado-cortado, convidado-desproporcional",Cabelo encosta na moldura azul superior | Cabeça do convidado bem maior que as do casal | Ombro esquerdo termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e55.png
#53,Anima Podcast Saúde,Gabriel Arreguy,media,"convidado-cortado, convidado-desproporcional",Topo da cabeça encosta na moldura azul superior | Cabeça do convidado bem maior que as do casal | Ombro esquerdo termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e53.png
#51,Anima Podcast Saúde,Tony Geremias,media,"convidado-cortado, convidado-desproporcional",Topo da cabeça encosta na moldura azul superior | Cabeça do convidado bem maior que as do casal | Ombro esquerdo termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e51.png
#50,Anima Podcast Saúde,Erika Vidal,media,"convidado-cortado, convidado-desproporcional",Cabelo encosta na moldura azul superior | Cabeça da convidada bem maior que as do casal | Lado esquerdo do blazer termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e50.png
#49,Anima Podcast Saúde,Géssica Andrade,media,"convidado-cortado, convidado-desproporcional",Cabelo encosta na moldura azul superior | Cabeça da convidada bem maior que as do casal | Lado esquerdo do blazer termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e49.png
#48,Anima Podcast Saúde,Bruno Messias,media,"convidado-cortado, convidado-desproporcional",Cabelo encosta na moldura azul superior | Cabeça do convidado bem maior que as do casal | Ombro esquerdo termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e48.png
#47,Anima Podcast Saúde,Aline Cantarelli,media,"convidado-cortado, convidado-desproporcional",Cabelo encosta na moldura azul superior | Cabeça da convidada bem maior que as do casal | Lado esquerdo do blazer termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e47.png
#46,Anima Podcast Saúde,Isabela Bussade,media,"convidado-cortado, convidado-desproporcional",Topo da cabeça encosta na moldura azul superior | Cabeça da convidada bem maior que as do casal | Ombro esquerdo termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e46.png
#11,Anima Podcast Saúde,Clarissa Caramez,media,convidado-cortado,Topo do cabelo encosta na moldura azul superior,https://audiovisual-anima.github.io/thumbs-anima/review/saude/e11.png
#10,Anima Podcast Saúde,Leonardo Avila,media,"convidado-cortado, convidado-desproporcional",Cabelo encosta na moldura azul superior | Cabeça do convidado bem maior que as do casal | Ombro esquerdo termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e10.png
#9,Anima Podcast Saúde,Gil Gabriel,media,"convidado-cortado, convidado-desproporcional",Cabelo encosta na moldura azul superior | Cabeça do convidado bem maior que as do casal | Ombro esquerdo termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e9.png
#8,Anima Podcast Saúde,Bruno Lamoglia,media,"convidado-cortado, convidado-desproporcional",Cabelo encosta na moldura azul superior | Cabeça do convidado bem maior que as do casal | Ombro esquerdo termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e8.png
#7,Anima Podcast Saúde,Angélica Ávila,media,"convidado-cortado, convidado-desproporcional",Cabelo encosta na moldura azul superior | Cabeça da convidada bem maior que as do casal | Lado esquerdo do blazer termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e7.png
#5,Anima Podcast Saúde,José Eduardo,media,"convidado-cortado, convidado-desproporcional",Cabelo encosta na moldura azul superior | Cabeça do convidado bem maior que as do casal | Ombro esquerdo termina em corte reto vertical (borda da foto original),https://audiovisual-anima.github.io/thumbs-anima/review/saude/e5.png
#311,Anima Podcast,Felipe Alcântara,baixa,convidado-qualidade,"Resíduo cinza/borrado de fundo à esquerda do convidado (região ~x 1180-1500, y 650-1000).",https://audiovisual-anima.github.io/thumbs-anima/review/novos/e311.png
#301,Anima Podcast,Glória Severiano Ribeiro,baixa,texto-sobreposto,'COM GLÓRIA SEVERIANO RIBEIRO' termina encostando no ombro/blazer da convidada.,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e301.png
#300,Anima Podcast,Rafael Medeiros,baixa,texto-desalinhado,"Título em 3 linhas com 'A IA' isolado e a linha 'COM RAFAEL MEDEIROS' colada logo abaixo, sem o respiro padrão.",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e300.png
#299,Anima Podcast,Kakau Silva,baixa,texto-sobreposto,'HOMOSSEXUALIDADE' termina quase encostando no cabelo da convidada; título em 3 linhas com 'COM' colado.,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e299.png
#294,Anima Podcast,Kiara Castro,baixa,texto-desalinhado,"Título em 3 linhas e 'COM KIARA CASTRO' colado logo abaixo, sem o respiro padrão.",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e294.png
#275,Anima Podcast,Diácono Leo Dominus,baixa,texto-sobreposto,'COM DIÁCONO LEO DOMINUS' encosta no ombro esquerdo do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e275.png
#254,Anima Podcast,Paloma Bernardi,baixa,"convidado-desproporcional, texto-sobreposto",Fim da linha 'DE PALOMA BERNARDI' quase encosta no cabelo da convidada. | Cabeça da convidada um pouco menor que a do casal (corpo inteiro reduzido).,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e254.png
#246,Anima Podcast,Cláudio Bomtempo,baixa,convidado-desproporcional,Convidado um pouco maior e mais largo que o casal (cabeça e terno ocupam área maior).,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e246.png
#239,Anima Podcast,Tallis Gomes,baixa,convidado-desproporcional,"Convidado um pouco maior que o casal (cabeça acima da do apresentador, ombros muito largos).",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e239.png
#231,Anima Podcast,Paulo Frade,baixa,composicao,"Título na imagem ('POR ONDE PASSAVA, AS PESSOAS ADOECIAM') diverge do título do JSON ('O quadro que adoecia as pessoas'); arte em si está correta.",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e231.png
#228,Anima Podcast,Tony Allysson,baixa,convidado-desproporcional,Cabeça do convidado um pouco maior e posicionada mais baixa que a do casal (queixo abaixo do queixo do apresentador).,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e228.png
#223,Anima Podcast,Pe. Renato Teixeira,baixa,"composicao, texto-sobreposto",Linha 'MAIS RÁPIDO PARA O CÉU' muito larga: quase encosta no cabelo do apresentador à esquerda e no rosto do convidado à direita | Título na imagem ('FAÇA ISSO E VÁ MAIS RÁPIDO PARA O CÉU') difere do título do JSON ('Vá mais rápido para o Céu'),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e223.png
#218,Anima Podcast,Luis Enrique Carmelo,baixa,texto-sobreposto,'COM LUIS ENRIQUE CARMELO' termina encostando no ombro esquerdo do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e218.png
#217,Anima Podcast,Guilherme Cadoiss,baixa,composicao,Título na imagem ('VOCÊ NÃO VAI ACREDITAR NISSO!') não corresponde ao título do JSON ('A Santa Carona'),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e217.png
#206,Anima Podcast,Ramon Palomo,baixa,texto-sobreposto,"Linha 'SIGNIFICA PARA O FUTURO' muito larga, com pouca folga entre o cabelo do apresentador e o do convidado",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e206.png
#194,Anima Podcast,Elizabeth Pimentel,baixa,texto-sobreposto,"Linha 'COM ELIZABETH PIMENTEL' termina a poucos pixels do cabelo da convidada, quase encostando",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e194.png
#187,Anima Podcast,Carol Tizziani,baixa,texto-sobreposto,Título 'CASAMENTOS ACABAM...' termina praticamente encostado no cabelo da convidada (folga de ~15px),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e187.png
#176,Anima Podcast,Ronaldo Amorim,baixa,convidado-desproporcional,"Convidado largo demais: paletó avança até x~1170, quase encostando no badge do episódio e no final de 'COM RONALDO AMORIM'",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e176.png
#165,Anima Podcast,Eduardo Martins,baixa,texto-sobreposto,Fim da linha 'SACRIFICAR SUA FAMÍLIA' quase encosta no rosto do convidado (folga mínima),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e165.png
#153,Anima Podcast,Maria Nazaré,baixa,texto-sobreposto,Título ('DIFERENTE' / 'ARBÍTRIO') termina a poucos pixels do cabelo da convidada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e153.png
#141,Anima Podcast,Pe. Fabrício Timóteo,baixa,texto-sobreposto,'COM PE. FABRÍCIO TIMÓTEO' termina muito próximo do ombro da batina do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e141.png
#133,Anima Podcast,Dom Milton Kenan Jr.,baixa,texto-sobreposto,'COM DOM MILTON KENAN JR.' termina praticamente encostado no ombro/paletó do convidado (folga quase zero),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e133.png
#124,Anima Podcast,Padre Balbino,baixa,convidado-qualidade,"Fundo remanescente: área cinza suave visível à esquerda do ombro do convidado (recorte não totalmente limpo, encostando no badge)",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e124.png
#119,Anima Podcast,Padre Balbino,baixa,texto-desalinhado,Título em 3 linhas com 'MISSA' isolada na última; 'COM PADRE BALBINO' fica colado ao título,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e119.png
#118,Anima Podcast,Tânio Tavares,baixa,texto-sobreposto,Título 'ELE ADOTOU 46 FILHOS' termina a poucos pixels da testa do convidado; camisa do convidado quase encosta no badge de episódio,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e118.png
#115,Anima Podcast,Diego Falcão,baixa,convidado-qualidade,Recorte com serrilhado/irregular no topo do cabelo do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e115.png
#107,Anima Podcast,Marcos Alvarenga,baixa,texto-sobreposto,Título 'ESCLEROSE MÚLTIPLA:' termina muito próximo do rosto do convidado (folga mínima),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e107.png
#105,Anima Podcast,Igor Chiminacio,baixa,convidado-qualidade,Recorte com serrilhado visível (borda em degraus) no ombro esquerdo do terno do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e105.png
#102,Anima Podcast,André Vaz,baixa,convidado-qualidade,Recorte com serrilhado (borda em degraus) no ombro esquerdo do terno do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e102.png
#101,Anima Podcast,Murilo Drummond,baixa,convidado-qualidade,Recorte com serrilhado (borda em degraus) ao longo do ombro esquerdo do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e101.png
#92,Anima Podcast,Mariana de Oliveira,baixa,convidado-qualidade,Recorte com serrilhado evidente (borda em degraus) no ombro esquerdo do blazer da convidada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e92.png
#87,Anima Podcast,Luis Trocado,baixa,"convidado-desproporcional, convidado-qualidade",Cabeça do convidado um pouco maior que a do casal (foto ligeiramente ampliada) | Serrilhado leve no recorte do ombro esquerdo,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e87.png
#86,Anima Podcast,Paulo Luzio,baixa,"convidado-desproporcional, convidado-qualidade",Cabeça do convidado um pouco maior que a do casal (foto ligeiramente ampliada) | Serrilhado leve no recorte do ombro esquerdo do terno,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e86.png
#85,Anima Podcast,Miguel Ceccarelli,baixa,"convidado-qualidade, texto-sobreposto",'COM MIGUEL CECCARELLI' termina quase encostado no ombro esquerdo do convidado (margem mínima); cotovelo do convidado chega perto do badge | Serrilhado leve no recorte do braço/ombro esquerdo,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e85.png
#84,Anima Podcast,Ana Luisa Rego Macedo,baixa,convidado-qualidade,"Serrilhado visível (borda em degraus) na lateral esquerda do blazer da convidada, perto da base",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e84.png
#75,Anima Podcast,João Paulo Lomelino,baixa,"convidado-desproporcional, texto-sobreposto","'HÁBITOS QUE CAUSAM' termina praticamente encostado no cabelo do convidado, sem respiro | Convidado um pouco maior que o casal",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e75.png
#71,Anima Podcast,Lygia Pimentel,baixa,texto-sobreposto,'FOI MORAR NO CAMPO' termina praticamente encostado no cabelo da convidada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e71.png
#65,Anima Podcast,Simone Marquetto,baixa,texto-sobreposto,'COM SIMONE MARQUETTO' termina praticamente encostado no blazer branco da convidada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e65.png
#63,Anima Podcast,Padre Julinho,baixa,convidado-desproporcional,Convidado maior que o casal; ombro esquerdo chega bem perto do badge de episódio,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e63.png
#61,Anima Podcast,Maestro Carlos Pimenta,baixa,"convidado-desproporcional, texto-sobreposto",'COM MAESTRO CARLOS PIMENTA' termina encostado no ombro/colarinho do convidado | Cabeça do convidado maior que a dos apresentadores,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e61.png
#60,Anima Podcast,Raphael Tonon,baixa,"convidado-desproporcional, texto-sobreposto","Convidado grande: cabeça bem maior que a do casal, jaqueta chega perto do badge | 'N. SRA. DAS LÁGRIMAS:' termina praticamente encostado no cabelo do convidado",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e60.png
#59,Anima Podcast,Prof. Paulo Velasco,baixa,texto-sobreposto,'COM PROF. PAULO VELASCO' termina praticamente encostado no ombro do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e59.png
#58,Anima Podcast,Pe. Heitor de Menezes,baixa,texto-sobreposto,'COM PE. HEITOR DE MENEZES' e 'O CHAMADO DE DEUS' terminam praticamente encostados no convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e58.png
#53,Anima Podcast,Arno Alcântara,baixa,convidado-desproporcional,Cabeça do convidado visivelmente maior que a dos apresentadores,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e53.png
#49,Anima Podcast,Joaquim Carvalho Pedra,baixa,"convidado-desproporcional, texto-sobreposto",'COM JOAQUIM CARVALHO PEDRA' termina encostado no ombro da batina do convidado | Cabeça do convidado maior que a dos apresentadores,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e49.png
#42,Anima Podcast,Paula Campozan,baixa,composicao,Título de uma só palavra (BURNOUT) em linha única deixa vão grande entre o título e 'COM PAULA CAMPOZAN',https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e42.png
#40,Anima Podcast,Carol Barros,baixa,texto-sobreposto,Fim da linha 'NUTRIÇÃO PARA CADA' quase encosta no cabelo da convidada (folga mínima),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e40.png
#35,Anima Podcast,Leonardo Fontana,baixa,convidado-qualidade,Borda do recorte no ombro esquerdo do convidado levemente serrilhada/escadeada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e35.png
#31,Anima Podcast,Caroline Brandão,baixa,texto-sobreposto,Linha 'DIAGNÓSTICO PRECOCE' termina muito próxima do cabelo da convidada (folga mínima),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e31.png
#27,Anima Podcast,Clara Morena,baixa,texto-sobreposto,Linha 'CONSULTÓRIO MÉDICO' termina muito próxima do cabelo da convidada (folga mínima),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e27.png
#24,Anima Podcast,Filipe Duarte,baixa,"convidado-qualidade, texto-sobreposto",Linha 'FERTILIDADE FEMININA' termina muito próxima do cabelo do convidado (folga mínima) | Recorte do ombro esquerdo do convidado com borda serrilhada/escadeada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e24.png
#17,Anima Podcast,Diogo Viana,baixa,convidado-desproporcional,"Convidado só de busto, cabeça um pouco maior que a do casal (~25% maior)",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e17.png
#4,Anima Podcast,Alex Rocha,baixa,convidado-desproporcional,"Convidado só de busto, cabeça maior que a do casal (~25% maior)",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e4.png
